City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,ola,59.5833,151.2833,258.23,73,73,5.2,RU,1699936350
124,vorgashor,67.5833,63.95,261.74,87,100,4.22,RU,1699936350
125,afaahiti,-17.75,-149.2833,300.08,90,96,6.7,PF,1699936351
126,weno,7.4515,151.8468,304.12,74,75,2.06,FM,1699936351
127,uvira,-3.4067,29.1458,296.68,83,85,1.74,CD,1699936352
128,mugia,43.1041,-9.2179,291.99,92,100,12.93,ES,1699936352
129,haiku-pauwela,20.9219,-156.3051,298.17,68,40,6.69,US,1699936125
130,hermanus,-34.4187,19.2345,288.72,78,66,7.14,ZA,1699936353
131,hamilton,39.1834,-84.5333,283.13,56,0,0.89,US,1699936186
132,kolonia town,6.964,158.206,303.21,79,100,1.54,FM,1699936353
133,north bend,43.4065,-124.2243,285.29,93,0,0.0,US,1699936354
134,utrik,11.2278,169.8474,301.18,80,100,8.23,MH,1699936354
135,lazaro cardenas,17.9583,-102.2,299.22,83,26,1.42,MX,1699936355
136,port moresby,-9.4431,147.1797,303.83,51,40,5.14,PG,1699936136
137,ballina,-28.8667,153.5667,300.25,73,36,6.78,AU,1699936356
138,yarmouth,41.7057,-70.2286,277.18,79,100,2.24,US,1699936357
139,banda aceh,5.5577,95.3222,299.52,87,100,3.92,ID,1699936357
140,saudarkrokur,65.7461,-19.6394,271.57,83,11,4.27,IS,1699936145
141,kayangel,8.0823,134.7173,301.27,79,79,6.28,PW,1699936358
142,karaton,-6.3424,106.1045,303.65,66,97,0.98,ID,1699936358
143,antsiranana,-12.2787,49.2917,301.57,69,40,4.12,MG,1699936079
144,chonchi,-42.6128,-73.8092,276.71,91,83,1.45,CL,1699936359
145,fuvahmulah,-42.6128,-73.8092,276.71,91,83,1.45,CL,1699936359
146,dakhla,23.6848,-15.958,295.19,49,77,4.31,EH,1699936359
147,salalah,17.0151,54.0924,300.2,89,40,1.54,OM,1699936360
148,klyuchi,52.2667,79.1667,277.77,78,93,4.04,RU,1699936360
149,mahdia,35.5047,11.0622,288.12,60,5,3.51,TN,1699936360
150,san julian,21.0167,-102.1667,290.41,62,92,3.26,MX,1699936361
151,cristalina,-16.7686,-47.6136,294.44,35,0,0.9,BR,1699936361
152,luba,3.4568,8.5547,297.09,81,63,0.18,GQ,1699936361
153,isafjordur,66.0755,-23.124,274.54,84,42,3.1,IS,1699936362
154,santa isabel,-23.3156,-46.2214,296.76,77,60,0.79,BR,1699936362
155,nuuk,64.1835,-51.7216,270.49,86,100,4.63,GL,1699936362
156,mikhaylovskoye,51.8239,79.7172,276.7,79,95,3.93,RU,1699936363
157,alotau,51.8239,79.7172,276.7,79,95,3.93,RU,1699936363
158,bonthe,7.5264,-12.505,298.47,89,74,1.66,SL,1699936363
159,opuwo,-18.0607,13.84,298.26,28,65,1.43,NA,1699936364
160,polyarnyye zori,67.3661,32.4981,260.36,99,99,1.78,RU,1699936364
161,ancud,-41.8697,-73.8203,278.84,71,31,3.3,CL,1699936251
162,holualoa,19.6228,-155.9522,298.06,79,75,2.06,US,1699936182
163,san pedro,14.35,121.0167,306.1,62,40,5.66,PH,1699936299
164,ust-nera,64.5667,143.2,244.71,98,55,2.41,RU,1699936116
165,dongcun,36.7767,121.1597,282.3,26,100,2.99,CN,1699936366
166,ziro,27.6333,93.8333,286.56,29,12,0.5,IN,1699936366
167,lushun,38.8,121.2667,283.27,55,88,6.8,CN,1699936366
168,petropavlovsk-kamchatsky,53.0452,158.6483,270.07,74,0,12.52,RU,1699936105
169,borogontsy,62.6683,131.1683,252.42,97,95,1.44,RU,1699936367
170,hauterive,46.0901,3.4459,291.57,86,100,3.35,FR,1699936367
171,marsabit,2.3284,37.9899,291.39,90,100,3.83,KE,1699936368
172,pangody,65.85,74.4859,258.91,95,100,4.46,RU,1699936368
173,taroa,8.7058,171.2275,300.54,82,90,7.2,MH,1699936368
174,road town,18.4167,-64.6167,300.2,72,3,8.2,VG,1699936368
175,bol'sherech'ye,56.0925,74.6272,275.68,84,98,4.93,RU,1699936369
176,nova sintra,14.8667,-24.7167,296.87,71,99,5.31,CV,1699936369
177,huruta,8.15,39.35,290.23,77,54,4.44,ET,1699936369
178,mahina,-17.5065,-149.489,301.02,83,75,4.12,PF,1699936370
179,iskateley,67.6803,53.1512,265.38,96,100,4.02,RU,1699936370
180,west island,-12.1568,96.8225,302.14,70,6,5.66,CC,1699936370
181,portland,45.5234,-122.6762,282.34,91,0,1.79,US,1699935850
182,lihue,21.9789,-159.3672,300.73,75,20,7.72,US,1699936371
183,novaya ladoga,60.1025,32.3019,273.77,98,100,3.07,RU,1699936371
184,nar'yan-mar,67.6713,53.087,265.43,96,100,4.02,RU,1699936186
185,kiunga,-6.1219,141.2906,307.29,44,76,1.25,PG,1699936195
186,tobi village,-6.1219,141.2906,307.29,44,76,1.25,PG,1699936195
187,mount isa,-20.7333,139.5,312.02,13,0,7.72,AU,1699936245
188,armacao de buzios,-22.7469,-41.8817,296.34,93,45,6.03,BR,1699936373
189,ta`u,-14.2336,-169.5144,300.66,81,66,5.21,AS,1699936373
190,takamaka,-14.2336,-169.5144,300.66,81,66,5.21,AS,1699936373
191,san andres,12.5847,-81.7006,299.16,94,20,2.06,CO,1699936374
192,laguna,38.421,-121.4238,287.77,78,0,2.06,US,1699936374
193,invercargill,-46.4,168.35,282.05,91,90,9.39,NZ,1699936375
194,vilyuchinsk,52.9306,158.4028,270.89,71,100,2.69,RU,1699936079
195,nouadhibou,20.931,-17.0347,293.14,56,24,5.14,MR,1699936375
196,hilo,19.7297,-155.09,296.0,92,40,2.06,US,1699936301
197,lorengau,-2.0226,147.2712,302.2,71,81,3.14,PG,1699936376
198,tyukhtet,56.5389,89.3011,269.93,78,74,3.81,RU,1699936376
199,qianjiang,30.4151,112.8859,287.01,33,0,1.17,CN,1699936376
200,lampazos de naranjo,27.0167,-100.5167,287.83,96,100,3.08,MX,1699936291
201,safonovo,55.15,33.2167,275.26,97,100,5.35,RU,1699936377
202,pelabuhanratu,-6.9875,106.5514,303.03,72,98,1.81,ID,1699936377
203,nemuro,43.3236,145.575,278.37,51,16,9.84,JP,1699936101
204,fort bragg,35.139,-79.006,281.73,87,0,0.0,US,1699936135
205,kupang,-10.1667,123.5833,303.47,84,75,3.09,ID,1699936378
206,ibra',-10.1667,123.5833,303.47,84,75,3.09,ID,1699936378
207,codrington,-38.2667,141.9667,289.16,61,100,4.97,AU,1699936379
208,molina,-35.1167,-71.2833,285.0,71,32,4.12,CL,1699936380
209,east london,-33.0153,27.9116,287.67,94,75,1.54,ZA,1699936380
210,pibor,-33.0153,27.9116,287.67,94,75,1.54,ZA,1699936380
211,colares,38.7992,-9.4469,289.44,92,56,4.02,PT,1699936381
212,broken hill,-31.95,141.4333,301.44,21,69,3.31,AU,1699936267
213,new norfolk,-42.7826,147.0587,291.44,27,4,2.59,AU,1699936381
214,padre paraiso,-17.0742,-41.4844,293.74,63,5,1.07,BR,1699936382
215,devinuwara,-17.0742,-41.4844,293.74,63,5,1.07,BR,1699936382
216,praia da vitoria,38.7333,-27.0667,289.68,94,20,2.72,PT,1699936383
217,madinat ash shamal,26.1293,51.2009,299.98,50,0,0.36,QA,1699936384
218,saint-pierre,-21.3393,55.4781,299.97,47,52,2.57,RE,1699936384
219,flying fish cove,-10.4217,105.6791,300.97,74,100,4.63,CX,1699936385
220,kantagi,43.5264,68.5775,283.34,35,1,4.64,KZ,1699936385
221,goldenstedt,52.7883,8.432,285.27,84,91,11.87,DE,1699936386
222,arapgir,39.0412,38.4952,283.86,98,100,2.52,TR,1699936386
223,sandnessjoen,66.0217,12.6316,260.44,61,34,4.23,NO,1699936387
224,fonadhoo,66.0217,12.6316,260.44,61,34,4.23,NO,1699936387
225,olgii,66.0217,12.6316,260.44,61,34,4.23,NO,1699936387
226,chikwawa,-16.0335,34.8009,297.31,69,62,2.79,MW,1699936388
227,nagqu,31.5,92.0,274.18,22,100,2.95,CN,1699936388
