City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,maqat,47.65,53.3167,279.92,60,37,5.58,KZ,1699924224
126,palmer,42.1584,-72.3287,277.17,73,75,0.0,US,1699924225
127,guozhen,34.3659,107.359,281.27,60,8,0.58,CN,1699924225
128,stanley,54.868,-1.6985,281.92,90,20,5.14,GB,1699924226
129,nova sintra,14.8667,-24.7167,296.87,72,100,5.32,CV,1699924226
130,chas,23.6333,86.1667,291.29,56,12,1.91,IN,1699924226
131,belo sur tsiribihina,-19.7,44.55,295.56,81,2,1.71,MG,1699924227
132,karyes,37.3,22.5,283.26,88,87,0.74,GR,1699924227
133,dunedin,-45.8742,170.5036,286.84,74,99,4.03,NZ,1699924228
134,kapuskasing,49.4169,-82.4331,273.75,98,100,3.64,CA,1699924229
135,marka,1.7159,44.7717,300.18,79,100,3.09,SO,1699924229
136,northam,51.0333,-4.2167,286.07,90,100,11.18,GB,1699924229
137,avarua,-21.2078,-159.775,297.18,60,75,4.63,CK,1699924161
138,ust-nera,64.5667,143.2,244.32,97,59,2.16,RU,1699924230
139,portland,45.5234,-122.6762,284.28,85,0,0.45,US,1699923796
140,udachny,66.4167,112.4,267.29,85,100,3.85,RU,1699924231
141,asau,46.4333,26.4,276.66,83,76,2.56,RO,1699924231
142,minas de marcona,-15.2119,-75.1103,287.63,87,67,5.82,PE,1699924231
143,flying fish cove,-10.4217,105.6791,298.97,78,100,3.6,CX,1699924232
144,wailua homesteads,22.0669,-159.378,301.39,80,75,7.72,US,1699924207
145,pangkalpinang,-2.1333,106.1333,301.91,76,95,1.72,ID,1699924232
146,yarmouth,41.7057,-70.2286,278.13,84,100,1.54,US,1699924233
147,kerikeri,-35.2268,173.9474,294.77,66,100,0.45,NZ,1699924233
148,ad dilam,23.9915,47.1627,294.38,45,100,2.22,SA,1699924233
149,registro,-24.4875,-47.8436,297.63,90,99,0.33,BR,1699923994
150,xo'jaobod,40.666,72.5682,276.58,58,0,2.1,UZ,1699924234
151,yellowknife,62.456,-114.3525,262.15,92,100,2.45,CA,1699924199
152,albany,42.6001,-73.9662,275.56,76,93,0.72,US,1699924052
153,qaqortoq,60.7167,-46.0333,268.01,93,100,1.62,GL,1699924235
154,freetown,8.484,-13.2299,299.68,86,25,1.76,SL,1699924185
155,westport,41.1415,-73.3579,280.26,74,12,0.45,US,1699924235
156,reggane,26.7158,0.1714,295.28,20,5,5.01,DZ,1699924236
157,hede,33.7681,120.2517,280.05,51,0,2.37,CN,1699924236
158,gazi,35.3253,25.0669,292.04,77,20,4.63,GR,1699924236
159,rocky mountain house,52.3668,-114.9188,273.11,67,99,1.05,CA,1699924202
160,nouadhibou,20.931,-17.0347,297.14,33,13,4.63,MR,1699924237
161,erdenet,49.0333,104.0833,263.87,72,100,1.31,MN,1699924237
162,talnakh,69.4865,88.3972,255.75,97,52,4.55,RU,1699924203
163,olonkinbyen,70.9221,-8.7187,271.48,70,99,2.65,SJ,1699924238
164,hotan,37.0997,79.9269,278.4,25,100,2.71,CN,1699924238
165,ziro,27.6333,93.8333,279.96,64,7,1.21,IN,1699924238
166,nueva gerona,21.8833,-82.8,300.21,76,83,6.04,CU,1699924239
167,whitehorse,60.7161,-135.0538,268.72,85,100,7.6,CA,1699924239
168,chester,40.1254,-75.8749,279.35,81,0,2.06,US,1699924239
169,karasburg,-28.0167,18.75,294.28,16,0,5.44,NA,1699924240
170,atafu village,-8.5421,-172.5159,301.44,81,100,5.58,TK,1699924220
